Fecha;Shopping;Cant. Público;dia_semana;nombre_dia;6c;7c;8c;9c;10c;11c;12c;13c;14c;15c;16c;17c;18c;19c;20c;21c;22c;23c
2021-11-23;Cordoba;7109.0;1;Martes;0;0;0;0;357;471;553;585;585;601;683;797;862;862;748;0;0;0
2021-11-24;Cordoba;7299.0;2;Miércoles;0;0;0;0;364;485;561;606;622;667;728;804;864;849;743;0;0;0
2021-11-25;Cordoba;7834.0;3;Jueves;0;0;0;0;381;508;603;651;667;683;730;826;937;969;873;0;0;0
2021-11-26;Cordoba;9434.0;4;Viernes;0;0;0;0;398;561;706;796;851;869;905;977;1086;1158;1122;0;0;0
2021-11-27;Cordoba;10659.0;5;Sábado;0;0;0;0;353;522;675;798;890;967;1075;1228;1382;1428;1336;0;0;0
2021-11-28;Cordoba;12204.0;6;Domingo;0;0;0;0;294;468;676;849;1005;1144;1300;1508;1698;1733;1525;0;0;0
2021-11-29;Cordoba;7085.0;0;Lunes;0;0;0;0;312;452;546;593;593;608;686;795;873;873;749;0;0;0
2021-11-30;Cordoba;8185.0;1;Martes;0;0;0;0;412;543;636;674;674;693;786;917;992;992;861;0;0;0
2021-12-01;Cordoba;8351.0;2;Miércoles;0;0;0;0;416;555;642;694;711;763;833;920;989;972;850;0;0;0
2021-12-02;Cordoba;8006.0;3;Jueves;0;0;0;0;389;519;617;665;682;698;747;844;958;990;893;0;0;0
2021-12-03;Cordoba;10455.0;4;Viernes;0;0;0;0;441;622;782;882;943;963;1003;1083;1204;1284;1244;0;0;0
2021-12-04;Cordoba;13581.0;5;Sábado;0;0;0;0;450;665;861;1017;1135;1232;1369;1565;1761;1819;1702;0;0;0
2021-12-05;Cordoba;13881.0;6;Domingo;0;0;0;0;335;532;768;966;1143;1301;1478;1715;1932;1971;1735;0;0;0
2021-12-06;Cordoba;8524.0;0;Lunes;0;0;0;0;375;544;657;713;713;732;826;957;1051;1051;901;0;0;0
2021-12-07;Cordoba;8657.0;1;Martes;0;0;0;0;435;574;673;713;713;732;832;970;1049;1049;911;0;0;0
2021-12-08;Cordoba;10976.0;2;Miércoles;0;0;0;0;547;730;844;912;935;1004;1095;1209;1300;1277;1118;0;0;0
2021-12-09;Cordoba;9185.0;3;Jueves;0;0;0;0;447;596;707;763;782;801;857;968;1099;1136;1024;0;0;0
2021-12-10;Cordoba;12009.0;4;Viernes;0;0;0;0;507;714;898;1014;1083;1106;1152;1244;1382;1475;1429;0;0;0
2021-12-11;Cordoba;12203.0;5;Sábado;0;0;0;0;404;597;773;914;1019;1107;1230;1406;1582;1635;1529;0;0;0
2021-12-12;Cordoba;13602.0;6;Domingo;0;0;0;0;328;521;753;946;1120;1275;1449;1680;1893;1932;1700;0;0;0
2021-12-13;Cordoba;9087.0;0;Lunes;0;0;0;0;400;580;700;760;760;780;880;1020;1120;1120;960;0;0;0
2021-12-14;Cordoba;9167.0;1;Martes;0;0;0;0;461;608;713;755;755;776;881;1027;1111;1111;964;0;0;0
2021-12-15;Cordoba;14867.0;2;Miércoles;0;0;0;0;741;989;1143;1236;1267;1359;1483;1638;1761;1730;1514;0;0;0
2021-12-16;Cordoba;16200.0;3;Jueves;0;0;0;0;788;1051;1248;1347;1380;1412;1511;1708;1938;2004;1807;0;0;0
2021-12-17;Cordoba;15914.0;4;Viernes;0;0;0;0;671;946;1191;1343;1435;1466;1527;1649;1832;1954;1893;0;0;0
2021-12-18;Cordoba;17971.0;5;Sábado;0;0;0;0;595;880;1139;1346;1501;1631;1812;2071;2330;2408;2252;0;0;0
2021-12-19;Cordoba;16481.0;6;Domingo;0;0;0;0;397;632;913;1147;1357;1545;1755;2036;2294;2341;2060;0;0;0
2021-12-20;Cordoba;18094.0;0;Lunes;0;0;0;0;797;1155;1394;1514;1514;1554;1753;2032;2231;2231;1913;0;0;0
2021-12-21;Cordoba;19468.0;1;Martes;0;0;0;0;980;1291;1514;1603;1603;1648;1871;2182;2361;2361;2049;0;0;0
2021-12-22;Cordoba;21147.0;2;Miércoles;0;0;0;0;1055;1406;1626;1758;1802;1934;2110;2330;2505;2462;2154;0;0;0
2021-12-23;Cordoba;19690.0;3;Jueves;0;0;0;0;958;1278;1517;1637;1677;1717;1837;2076;2356;2436;2196;0;0;0
2021-12-24;Cordoba;8992.0;4;Viernes;0;0;0;0;379;535;673;759;811;828;862;931;1035;1104;1070;0;0;0
2021-12-25;Cordoba;4.0;5;Sábado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-26;Cordoba;13914.0;6;Domingo;0;0;0;0;335;533;770;968;1146;1304;1482;1719;1936;1976;1739;0;0;0
2021-12-27;Cordoba;11668.0;0;Lunes;0;0;0;0;514;745;899;976;976;1002;1130;1310;1439;1439;1233;0;0;0
2021-12-28;Cordoba;11622.0;1;Martes;0;0;0;0;585;771;904;957;957;984;1116;1303;1409;1409;1223;0;0;0
2021-12-29;Cordoba;12593.0;2;Miércoles;0;0;0;0;628;837;968;1047;1073;1151;1256;1387;1492;1466;1282;0;0;0
2021-12-30;Cordoba;10411.0;3;Jueves;0;0;0;0;506;675;802;865;886;908;971;1098;1245;1288;1161;0;0;0
2021-12-31;Cordoba;6404.0;4;Viernes;0;0;0;0;270;381;479;540;577;590;614;663;737;786;762;0;0;0
2022-01-01;Cordoba;3.0;5;Sábado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-01-02;Cordoba;10923.0;6;Domingo;0;0;0;0;263;418;605;760;899;1024;1163;1349;1520;1551;1365;0;0;0
2022-01-03;Cordoba;9197.0;0;Lunes;0;0;0;0;405;587;709;769;769;790;891;1033;1134;1134;972;0;0;0
2022-01-04;Cordoba;9502.0;1;Martes;0;0;0;0;478;630;739;782;782;804;913;1065;1152;1152;1000;0;0;0
2022-01-05;Cordoba;11543.0;2;Miércoles;0;0;0;0;575;767;887;959;983;1055;1151;1271;1367;1343;1175;0;0;0
2022-01-06;Cordoba;10074.0;3;Jueves;0;0;0;0;490;653;776;837;858;878;939;1062;1205;1246;1123;0;0;0
2022-01-07;Cordoba;10855.0;4;Viernes;0;0;0;0;458;645;812;916;979;1000;1041;1125;1250;1333;1291;0;0;0
2022-01-08;Cordoba;11523.0;5;Sábado;0;0;0;0;381;564;730;863;963;1046;1162;1328;1494;1544;1444;0;0;0
2022-01-09;Cordoba;10774.0;6;Domingo;0;0;0;0;260;413;596;749;887;1010;1147;1331;1499;1530;1346;0;0;0
2022-01-10;Cordoba;9542.0;0;Lunes;0;0;0;0;420;609;735;798;798;819;924;1071;1176;1176;1008;0;0;0
2022-01-11;Cordoba;9807.0;1;Martes;0;0;0;0;493;650;763;807;807;830;942;1099;1189;1189;1032;0;0;0
2022-01-12;Cordoba;10877.0;2;Miércoles;0;0;0;0;542;723;836;904;927;994;1085;1198;1288;1266;1108;0;0;0
2022-01-13;Cordoba;9862.0;3;Jueves;0;0;0;0;480;640;760;820;840;860;920;1040;1180;1220;1100;0;0;0
2022-01-14;Cordoba;11050.0;4;Viernes;0;0;0;0;466;657;827;933;996;1018;1060;1145;1272;1357;1314;0;0;0
2022-01-15;Cordoba;11944.0;5;Sábado;0;0;0;0;395;585;757;894;998;1084;1204;1376;1548;1600;1497;0;0;0
2022-01-16;Cordoba;12252.0;6;Domingo;0;0;0;0;295;469;678;852;1009;1148;1305;1514;1705;1740;1531;0;0;0
2022-01-17;Cordoba;9480.0;0;Lunes;0;0;0;0;417;605;730;793;793;814;918;1064;1169;1169;1002;0;0;0
2022-01-18;Cordoba;12771.0;1;Martes;0;0;0;0;642;847;993;1052;1052;1081;1227;1431;1548;1548;1344;0;0;0
2022-01-19;Cordoba;13477.0;2;Miércoles;0;0;0;0;672;896;1036;1120;1148;1232;1344;1484;1597;1569;1372;0;0;0
2022-01-20;Cordoba;11886.0;3;Jueves;0;0;0;0;578;771;916;988;1012;1036;1109;1253;1422;1470;1326;0;0;0
2022-01-21;Cordoba;10841.0;4;Viernes;0;0;0;0;457;645;811;915;977;998;1040;1123;1248;1331;1290;0;0;0
2022-01-22;Cordoba;16012.0;5;Sábado;0;0;0;0;530;784;1015;1199;1338;1453;1615;1845;2076;2145;2007;0;0;0
2022-01-23;Cordoba;17074.0;6;Domingo;0;0;0;0;412;654;945;1188;1406;1600;1818;2109;2376;2425;2134;0;0;0
2022-01-24;Cordoba;9592.0;0;Lunes;0;0;0;0;422;612;739;802;802;823;929;1077;1183;1183;1014;0;0;0
2022-01-25;Cordoba;9891.0;1;Martes;0;0;0;0;497;656;769;814;814;837;950;1109;1199;1199;1041;0;0;0
2022-01-26;Cordoba;11142.0;2;Miércoles;0;0;0;0;555;741;857;926;949;1019;1111;1227;1320;1297;1135;0;0;0
2022-01-27;Cordoba;10816.0;3;Jueves;0;0;0;0;526;702;833;899;921;943;1009;1140;1294;1338;1206;0;0;0
